team_id,name,M,G,W,L,Kills,Deaths,Towers,Inhibitors,Dragons,Barons,Gold,Creep Score,Wards,Wards Cleared,First Tower,First Blood
1,Asus ROG Army,,,,,,,,,,,,,,,,
2,BCN Squad,71.0,71.0,23.0,48.0,11.9,14.5,5.0,0.6,2.4,0.6,1702.3,31.2,3.1,1.3,45.1,50.7
3,BISONS ECLUB,62.0,82.0,43.0,39.0,14.4,14.7,5.9,0.8,2.3,0.7,1789.2,31.5,2.8,1.4,45.1,47.6
4,Barça eSports,58.0,70.0,38.0,32.0,13.9,13.3,6.8,1.1,2.1,0.8,1810.7,32.4,2.9,1.5,48.6,45.7
5,Case Esports,3.0,12.0,6.0,6.0,11.5,10.3,6.3,0.8,2.9,0.6,1714.8,30.6,3.4,1.4,58.3,33.3
6,Cream Real Betis,60.0,76.0,41.0,35.0,12.8,12.7,6.4,1.1,2.2,0.8,1770.6,32.2,3.2,1.4,36.8,43.4
7,Dragons E.C,,,,,,,,,,,,,,,,
8,E-monkeyz Club,109.0,112.0,34.0,78.0,10.2,14.3,4.4,0.6,2.0,0.5,1678.3,31.0,3.2,1.3,30.4,41.1
9,Fnatic TQ,58.0,67.0,45.0,22.0,15.9,13.2,7.4,1.2,2.7,0.9,1859.5,32.2,3.0,1.3,58.2,55.2
10,G2 Arctic,116.0,144.0,76.0,68.0,12.8,13.5,6.6,1.0,2.3,0.7,1764.0,31.6,3.4,1.4,61.8,46.5
11,G2 Heretics,40.0,50.0,29.0,21.0,14.2,11.6,7.0,1.3,2.3,0.7,1819.1,32.4,3.4,1.3,62.0,58.0
12,Giants,88.0,109.0,65.0,43.0,12.850000000000001,11.75,6.75,1.1,2.55,0.8,1809.4,32.599999999999994,3.2,1.45,53.4,56.75
13,Guasones,21.0,31.0,9.0,22.0,12.3,15.3,5.5,0.7,1.8,0.7,1738.7,31.1,2.4,1.4,35.5,45.2
14,Heretics Academy,29.0,34.0,21.0,13.0,15.0,11.95,7.15,1.3,2.8,0.95,1848.85,31.95,2.95,1.55,55.6,68.4
15,KIYF,,,,,,,,,,,,,,,,
16,KOI Academy,29.0,35.0,16.0,19.0,11.85,12.45,6.199999999999999,0.8500000000000001,1.9500000000000002,0.6499999999999999,1756.5500000000002,32.3,2.75,1.35,44.3,48.0
17,Mad Lions Academy,74.0,82.0,38.0,44.0,12.600000000000001,12.05,6.3,0.9500000000000001,2.2,0.75,1764.15,31.75,3.25,1.4,53.8,61.300000000000004
18,Movistar Riders,175.0,212.0,124.0,88.0,14.7,12.4,6.8,1.1,2.8,0.8,1802.1,31.8,3.3,1.4,61.8,51.9
19,Origen BCN,40.0,56.0,34.0,22.0,12.6,10.3,6.6,1.2,2.3,0.7,1744.6,31.4,3.1,1.2,44.6,51.8
20,Penguins,,,,,,,,,,,,,,,,
21,Rebels Gaming,20.0,26.0,16.0,10.0,13.3,14.2,6.4,1.0,2.2,0.8,1797.6,31.7,2.9,1.5,26.9,42.3
22,S2V Esports,108.0,111.0,41.0,70.0,11.6,14.0,5.2,0.6,2.0,0.6,1726.8,31.8,3.3,1.4,40.5,46.8
23,Splyce Vipers,21.0,30.0,17.0,13.0,14.4,11.3,6.4,1.2,1.9,0.8,1797.5,31.6,3.1,1.3,36.7,43.3
24,Team Queso,92.0,100.0,39.0,61.0,11.6,13.4,5.7,0.9,2.4,0.6,1716.4,31.2,3.2,1.4,48.0,43.0
25,UCAM,57.0,68.0,33.0,35.0,12.566666666666668,13.633333333333333,5.8,0.9,2.3333333333333335,0.7333333333333334,1747.3666666666668,31.46666666666667,3.1999999999999997,1.4000000000000001,48.76666666666667,47.800000000000004
26,x6tence,54.0,54.0,19.0,35.0,10.1,13.8,5.1,0.7,2.1,0.5,1692.3,31.0,3.1,1.2,46.3,51.9
